name,Mark,price,Discount,stars,product Link
"Oraimo Freepods Lite OTW-330 ENC Noise Cancellation, Up to 8HRs, IPX4 Water Resistance - Lake Blue",Oraimo,529.00,34%,4.4,https://www.jumia.com.eg/ar/oraimo-freepods-lite-otw-330-enc-noise-cancellation-up-to-8hrs-ipx4-water-resistance-lake-blue-103688848.html
Huawei FreeBuds 5i In-Ear True Wireless Earbuds - Blue,Huawei,"2,939.00",27%,4.4,https://www.jumia.com.eg/ar/freebuds-5i-in-ear-true-wireless-earbuds-blue-huawei-mpg1154421.html
XIAOMI Redmi Air Buds 5 Pro - Moonlight White,XIAOMI,"3,379.00",21%,No stars found,https://www.jumia.com.eg/ar/redmi-air-buds-5-pro-moonlight-white-xiaomi-mpg1154487.html
Soundcore A3004H31 - Soundcore Q20i - Blue,Soundcore,"2,509.00",30%,5,https://www.jumia.com.eg/ar/a3004h31-soundcore-q20i-blue-soundcore-mpg1152312.html
Sony WI-C100 Wireless In-Ear Headphones Stereo - Blue,Sony,"1,440.97",23%,3.8,https://www.jumia.com.eg/ar/sony-wi-c100-wireless-in-ear-headphones-stereo-blue-39931729.html
Soundcore A3035011 - Soundcore Space One - Black,Soundcore,"4,599.00",23%,2,https://www.jumia.com.eg/ar/soundcore-a3035011-soundcore-space-one-black-54692528.html
Anker Soundcore Liberty 4 NC True-Wireless Noise Cancelling Earbuds Reduce Noise By Up to 98.5% - A3947Z31 - Navy Blue,Anker,"3,706.97",23%,5,https://www.jumia.com.eg/ar/anker-soundcore-liberty-4-nc-true-wireless-earbuds-reduce-noise-upto-98.5-a3947z31-navy-blue-49001374.html
"Recci Mars Series Wireless Earbuds Heavy Bass, Hifi Sound Quality Audio Hifi - REP-W58 - Black",Recci,771.47,23%,No stars found,https://www.jumia.com.eg/ar/recci-mars-series-wireless-earbuds-heavy-bass-hifi-sound-quality-audio-hifi-rep-w58-black-53191899.html
Anker Soundcore Liberty 4 NC True-Wireless Noise Cancelling Earbuds Reduce Noise By Up to 98.5% - A3947Z11 - Black,Anker,"3,706.97",23%,4.2,https://www.jumia.com.eg/ar/anker-soundcore-liberty-4-nc-true-wireless-earbuds-reduce-noise-by-up-to-98.5-a3947z11-black-49001373.html
Huawei FreeBuds 5i Wireless Earbuds - Noise Cancelling with Hi-Res Sound Certified - Isle Blue,Huawei,"3,397.97",23%,5,https://www.jumia.com.eg/ar/huawei-freebuds-5i-wireless-earbuds-noise-cancelling-with-hi-res-sound-certified-isle-blue-40953557.html
Huawei Free Buds 6I T0019 - Black,Huawei,"4,633.97",23%,No stars found,https://www.jumia.com.eg/ar/huawei-free-buds-6i-t0019-black-103772478.html
Motorcycle Headset Helmet Intercom Headset with CVC Noise Cancellation Stereo Music IPX6 Waterproof for Full face Helmet,(لا يتوفر تقييم),"1,999.00",NoDsiscount,No stars found,https://www.jumia.com.eg/ar/generic-motorcycle-headset-helmet-intercom-headset-with-cvc-noise-cancellation-stereo-music-ipx6-waterproof-for-full-face-helmet-103487474.html
Anker P40i Smart Noise Cancelling Adapts 12-Hour Playtime 60-Hour With Case - A3955,Anker,"3,294.97",23%,No stars found,https://www.jumia.com.eg/ar/anker-p40i-smart-noise-cancelling-adapts-12-hour-playtime-60-hour-with-case-a3955-89702431.html
Anker Soundcore P40I Smart Noise Cancelling - A3955H11 - Black,Anker,"3,294.97",23%,No stars found,https://www.jumia.com.eg/ar/anker-soundcore-p40i-smart-noise-cancelling-a3955h11-black-104333789.html
Mi Buds 3 T Pro - Aurora Green,Mi,"5,560.97",23%,No stars found,https://www.jumia.com.eg/ar/mi-buds-3-t-pro-aurora-green-103596673.html
"Anker P25i True Wireless Earbuds IPX5 Waterproof ,30H Playtime - A3949Z11 - Black 1",Anker,"1,028.97",23%,4.3,https://www.jumia.com.eg/ar/anker-p25i-true-wireless-earbuds-ipx5-waterproof-30h-playtime-a3949z11-black-1-52899072.html
